timeStep areaDensityCounting-PID5 areaDensityCounting-PID6 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11 areaDensityCounting-PID12 areaDensityCounting-PID13 areaDensityCounting-PID14 areaDensityCounting-PID15 areaDensityCounting-PID16 areaDensityCounting-PID17
288 4 4 7 8 12 7 12 1 10 7 10 7 10
289 4 4 7 8 12 7 12 1 10 7 10 7 10
290 4 4 7 8 12 7 12 1 10 7 10 7 10
291 4 4 7 9 11 7 10 1 11 9 10 6 10
292 4 4 7 9 11 7 10 1 11 9 10 6 10
293 4 4 7 9 12 7 10 1 10 9 10 7 10
294 4 4 7 8 12 7 10 1 11 9 10 7 10
295 4 4 7 7 13 7 9 1 11 11 9 7 10
296 4 4 6 8 13 7 9 1 12 10 9 7 10
297 4 4 6 8 13 7 9 1 12 9 10 7 10
298 4 4 6 8 13 7 9 1 12 8 11 7 10
299 4 4 6 8 13 7 9 1 12 8 11 7 10
300 4 4 6 9 11 7 9 1 11 8 12 7 10
301 4 4 6 9 11 7 9 1 11 8 12 7 10
302 4 4 6 9 11 7 9 1 10 9 12 7 10
303 4 4 6 9 12 7 8 1 11 9 12 7 10
304 4 4 6 9 12 7 8 1 11 9 12 7 10
305 4 4 6 9 12 7 9 1 10 8 13 7 10
306 4 4 6 9 12 7 9 1 10 9 12 7 10
307 4 4 6 9 12 7 10 1 11 8 10 7 11
308 4 4 6 9 12 7 10 1 11 8 10 7 11
309 4 4 6 8 12 7 10 1 11 9 10 7 11
310 4 4 6 8 12 7 10 1 11 9 10 7 11
311 4 4 6 9 11 7 10 1 11 9 10 8 10
312 4 4 6 9 11 7 11 1 10 9 10 8 10
313 4 4 6 9 11 7 11 1 10 10 9 8 10
314 4 4 6 9 11 7 10 1 11 10 9 8 10
315 4 4 6 9 11 7 9 1 11 10 10 8 10
316 4 4 6 10 10 7 9 1 11 10 10 8 10
317 4 4 6 9 11 7 9 1 11 10 9 9 10
318 4 4 6 8 11 7 10 1 11 10 9 9 10
319 4 4 6 9 10 7 10 1 11 9 9 9 11
320 4 4 6 9 10 7 11 1 10 8 10 9 11
321 4 4 6 8 11 7 12 1 9 7 11 8 12
322 4 4 6 8 11 7 11 1 9 9 10 8 12
323 4 4 6 7 12 7 10 1 10 9 9 8 13
324 4 4 6 7 12 7 10 1 10 9 11 8 11
325 4 4 6 8 11 7 10 1 10 8 12 8 11
326 4 4 6 8 11 7 8 1 11 10 10 8 12
327 4 4 6 8 11 7 8 1 11 11 9 8 12
328 4 4 6 8 11 7 8 1 11 11 9 8 12
329 4 4 6 8 11 7 8 1 11 11 9 8 12
330 4 4 6 7 12 7 7 1 11 11 10 8 12
331 4 4 6 8 11 7 8 1 11 8 12 8 12
332 4 4 6 8 11 7 8 1 11 9 11 8 12
333 4 4 6 8 11 7 9 1 10 9 11 8 12
334 4 4 6 8 11 7 8 1 11 8 12 8 12
335 4 4 6 8 11 7 8 1 11 9 11 9 11
336 4 4 6 6 12 7 8 2 11 9 11 10 10
337 4 4 6 6 12 7 9 1 11 9 11 10 10
338 4 4 6 7 11 7 9 1 10 10 11 10 10
339 4 4 6 7 11 7 9 1 10 10 11 10 10
340 4 4 6 7 11 7 8 1 11 9 12 11 9
341 4 4 6 7 11 7 8 1 11 11 11 11 8
342 4 4 6 7 11 7 8 1 11 11 11 11 8
343 4 4 6 7 11 7 8 1 11 11 11 10 9
344 4 4 6 6 12 7 8 1 11 11 11 10 9
345 4 4 6 6 12 7 8 1 11 11 11 10 9
346 4 4 6 6 12 7 8 1 11 11 11 10 9
347 4 4 6 7 11 7 8 1 11 11 11 10 9
348 4 4 6 7 10 7 8 2 11 11 11 10 9
349 4 4 6 7 10 7 8 2 11 10 12 10 9
350 4 4 6 6 11 7 9 1 11 10 12 10 9
351 4 4 6 6 11 7 9 1 11 10 12 10 9
352 4 4 6 6 11 7 9 1 11 10 12 10 9
353 4 4 6 6 11 7 9 1 11 10 12 10 9
354 4 4 6 6 11 7 9 1 11 10 12 10 9
355 4 4 6 6 11 7 9 1 11 10 12 10 9
356 4 4 6 6 11 7 9 1 11 11 11 10 9
357 4 4 6 6 11 7 8 1 11 12 11 10 9
358 4 4 6 7 10 7 6 1 12 12 12 10 9
359 4 4 6 7 10 7 7 1 11 12 12 10 9
360 4 4 6 7 10 7 8 1 9 13 12 10 9
361 4 4 6 8 9 7 8 1 9 13 12 10 9
362 4 4 6 8 9 7 7 1 10 12 13 10 9
363 4 4 6 7 10 7 7 1 10 13 12 10 9
364 4 4 6 7 10 7 7 1 10 13 12 10 9
365 4 4 6 7 10 7 7 1 10 11 13 11 9
366 4 4 6 7 10 7 7 1 10 13 10 11 10
367 4 4 6 7 10 7 7 1 10 13 11 10 10
368 4 4 6 7 10 7 7 1 10 12 11 10 11
369 4 4 6 7 10 7 7 1 10 12 11 10 11
370 4 4 6 6 10 7 8 1 10 12 11 10 11
371 4 4 6 6 10 7 8 1 10 12 11 11 10
372 4 4 6 6 10 7 8 1 10 12 11 11 10
373 4 4 6 6 10 7 8 1 10 12 11 11 10
374 4 4 6 6 10 7 8 1 10 13 10 11 10
375 4 4 6 6 10 7 8 1 10 13 10 11 10
376 4 4 6 7 9 7 8 1 10 13 10 11 10
377 4 4 6 7 8 7 8 2 10 13 10 11 10
378 4 4 6 7 9 7 9 0 10 13 10 11 10
379 4 4 6 8 7 7 8 1 10 13 11 11 10
380 4 4 6 8 8 7 8 0 10 13 11 11 10
381 4 4 6 8 8 7 8 0 10 13 10 11 11
382 4 4 6 8 8 7 8 0 10 13 10 11 11
383 4 4 6 7 9 7 8 0 10 13 10 11 11
384 4 4 6 7 8 7 8 1 10 13 10 11 11
385 4 4 6 6 9 7 7 1 10 14 10 11 11
386 4 4 6 5 10 7 7 1 10 14 10 11 11
387 4 4 6 5 10 7 7 1 10 14 10 11 11
388 4 4 6 5 10 7 7 1 10 13 11 11 11
389 4 4 6 5 10 7 8 1 9 13 11 11 11
390 4 4 6 6 8 7 8 1 10 13 11 11 11
391 4 4 6 7 7 7 8 1 10 12 12 11 11
392 4 4 6 7 7 7 8 1 10 12 12 11 11
393 4 4 6 7 7 7 8 1 10 12 12 11 11
394 4 4 6 7 7 7 8 1 10 12 12 11 11
395 4 4 6 7 7 7 8 1 10 12 12 11 11
396 4 4 6 8 6 7 8 1 10 12 12 11 11
397 4 4 6 8 6 7 8 1 10 12 12 11 11
398 4 4 6 7 7 7 9 1 9 12 12 11 11
399 4 4 6 7 7 7 8 1 10 12 12 11 11
400 4 4 7 6 7 7 8 1 10 12 12 11 11
401 4 4 7 7 6 7 8 1 10 12 12 11 11
402 4 4 7 7 6 7 8 1 10 12 12 11 11
403 4 4 7 7 6 7 8 1 10 12 12 11 11
404 4 4 7 7 6 7 8 1 10 12 12 11 11
405 4 4 7 6 7 7 9 1 9 12 12 11 11
406 4 4 7 7 6 7 9 1 9 12 12 11 11
407 4 4 7 7 6 7 9 1 9 13 11 11 11
408 4 4 7 7 6 7 9 1 9 13 11 11 11
409 4 4 7 7 6 7 9 1 9 13 11 11 11
410 4 4 7 7 6 7 9 1 9 13 11 11 11
411 4 4 7 7 6 7 9 1 9 13 11 11 11
412 4 4 7 8 5 7 9 1 9 13 11 11 11
413 4 4 7 8 5 7 9 1 10 13 10 11 11
414 4 4 7 8 5 7 9 1 10 13 10 11 11
415 4 4 7 8 5 7 9 1 10 12 11 11 11
416 4 4 7 8 5 7 9 1 9 13 11 11 11
417 4 4 7 8 5 7 9 1 9 13 11 11 11
418 4 4 7 8 5 7 9 1 9 13 11 11 11
419 4 4 7 8 5 7 9 1 9 13 11 11 11
420 4 4 7 8 5 7 9 1 9 13 11 11 11
421 4 4 7 8 5 7 9 1 9 13 11 11 11
422 4 4 7 8 5 7 9 1 9 13 11 11 11
423 4 4 7 8 5 7 9 1 9 13 11 11 11
424 4 4 7 8 5 7 9 1 9 13 11 11 11
425 4 4 7 7 6 7 9 1 9 13 11 11 11
426 4 4 7 7 6 7 9 1 9 13 11 11 11
427 4 4 7 7 6 7 9 1 9 13 11 11 11
428 4 4 7 7 6 7 9 1 9 13 11 11 11
429 4 4 7 8 4 7 9 1 10 13 11 11 11
430 4 4 7 7 6 7 9 0 9 14 11 12 10
431 4 4 7 7 6 7 8 0 10 14 11 12 10
432 4 4 7 7 5 7 8 1 10 13 12 12 10
433 4 4 7 7 5 7 8 1 10 13 12 12 10
434 4 4 7 7 5 7 9 0 10 12 13 13 9
435 4 4 7 7 5 7 8 1 10 12 13 13 9
436 4 4 7 7 5 7 8 1 10 12 13 14 8
437 4 4 7 7 5 7 9 1 9 14 11 14 8
438 4 4 7 7 5 7 9 1 10 13 11 14 8
439 4 4 7 7 5 7 8 1 10 13 12 13 9
440 4 4 7 7 5 7 9 1 9 13 12 12 10
441 4 4 7 7 5 7 10 1 8 13 12 12 10
442 4 4 7 7 5 7 9 1 9 11 12 13 11
443 4 4 7 7 5 7 9 1 9 11 12 14 10
444 4 4 7 7 5 7 9 1 9 11 12 13 11
445 4 4 7 7 5 7 9 1 9 11 12 12 12
446 4 4 7 7 5 7 9 1 9 11 12 12 12
447 4 4 7 7 5 7 8 1 9 13 12 12 11
448 4 4 7 7 5 7 8 1 9 13 12 12 11
449 4 4 7 7 5 7 8 1 9 13 12 13 10
450 4 4 7 6 5 7 9 1 9 13 12 13 10
451 4 4 7 6 5 7 8 1 10 12 13 13 10
452 4 4 7 7 4 7 8 1 10 12 13 13 10
453 4 4 7 7 4 7 8 1 10 12 13 13 10
454 4 4 6 7 4 7 7 1 11 12 14 13 9
455 4 4 6 8 4 7 7 1 11 12 14 14 8
456 4 4 7 7 4 7 7 1 10 13 14 14 8
457 4 4 7 7 4 7 5 1 11 14 14 14 8
458 4 4 7 7 4 7 5 1 11 15 13 15 7
459 4 4 7 7 4 7 7 1 9 15 13 14 8
460 4 4 7 6 5 7 7 1 9 14 14 14 8
461 4 4 6 6 5 7 7 1 9 14 14 14 8
462 4 4 6 6 5 7 6 1 10 14 14 15 7
463 4 4 6 6 5 7 6 1 10 13 15 15 7
464 4 4 6 6 5 7 6 1 11 13 14 15 7
465 4 4 6 6 5 7 6 1 11 13 14 14 8
466 4 4 6 6 5 7 7 1 10 13 13 14 9
467 4 4 6 6 5 7 7 1 10 13 13 14 9
468 4 4 6 6 5 7 7 1 10 13 13 14 9
469 4 4 6 5 5 7 8 1 10 12 14 14 9
470 4 4 6 5 5 7 7 1 10 14 13 13 10
471 4 4 6 6 5 7 9 1 9 13 13 15 8
472 4 4 6 6 5 7 8 1 10 13 13 16 7
473 4 4 6 6 5 7 8 1 10 13 14 15 7
474 4 4 6 6 5 7 8 1 10 14 14 14 7
475 4 4 6 6 5 7 7 1 10 15 14 15 6
